n,d,r,c,t,p,sd,pd128,pd256
32,4,65423.000000,61231.184896,0.000023,172204,21745,2513,496,4560,4
64,4,271404.000000,270213.802083,0.000101,276867,87042,9666,2016,18336,4
128,4,1166117.000000,1160250.000000,0.000429,1128121,345813,35413,8128,73536,4
256,4,3916462.000000,3761658.333333,0.001404,3716365,1378939,135547,32640,294528,4
512,4,14139570.000000,13553583.333333,0.005160,13400599,5511739,534587,130816,1178880,4
1024,4,60804086.000000,62378333.333333,0.020304,54432351,22040530,2124754,523776,4717056,4
2048,4,239834814.000000,226202600.000000,0.086901,223214125,88137398,8459958,2096128,18871296,4
4096,4,846865317.000000,821931066.666667,0.313882,818420815,352512037,33773605,8386560,75491328,4
6144,4,2014776418.000000,1924730600.000000,0.731156,1900510960,793196526,76013550,18871296,169860096,4
8192,4,3407677659.000000,3252302733.333333,1.261842,3258072604,1410058325,135047253,33550336,301977600,4
10240,4,5286932638.000000,5049766800.000000,1.956124,5035899857,2203186062,210963342,52423680,471843840,4
12288,4,7786497930.000000,7447128866.666667,2.846181,7378325086,3172690021,303872101,75491328,679458816,4
14336,4,10592893018.000000,10140485333.333332,3.916721,10179385575,4318284229,413487557,102753280,924822528,4
