n,d,r,c,t,p,sd,pd128,pd256
32,64,118326.000000,109001.953125,0.000042,129290,319458,3298,3040,77520,4
64,64,465099.000000,445304.166667,0.000174,496375,1283164,11868,12224,311712,4
128,64,1732081.000000,1681062.500000,0.000658,1646991,5142881,44385,49024,1250112,4
256,64,7110953.000000,6853925.000000,0.002646,8441269,20591242,170634,196352,5006976,4
512,64,28834607.000000,27673100.000000,0.010384,26966973,82406461,670781,785920,20040960,4
1024,64,118855732.000000,113803733.333333,0.043887,112681025,329700804,2651588,3144704,80189952,4
2048,64,514704726.000000,484829800.000000,0.188665,481894998,1318955704,10545848,12580864,320812032,4
4096,64,2258081400.000000,2162953866.666667,0.829929,2159495168,5276122577,42057169,50327552,1283352576,4
6144,64,5991962844.000000,5743290800.000000,2.216867,5731554934,11871512650,94545994,113240064,2887621632,4
8192,64,11691572387.000000,11183942466.666666,4.313341,11257695500,21105141956,168028356,201318400,5133619200,4
10240,64,19259631328.000000,18409478533.333336,7.080404,18185120407,32976917485,262411245,314562560,8021345280,4
12288,64,28540236901.000000,27227920200.000000,10.527564,27118026741,47487001034,377856458,452972544,11550799872,4
14336,64,39421218802.000000,37688290466.666672,14.515102,37581373034,64635272899,514244291,616548352,15721982976,4
