n,d,r,c,t,p,sd,pd128,pd256
32,20,112668.000000,108560.156250,0.000041,162141,65081,64601,0,120,4
64,20,414388.000000,396540.625000,0.000151,347932,259274,256298,0,744,4
128,20,1623757.000000,1573893.750000,0.000600,2218416,1034594,1020482,0,3528,4
256,20,6389274.000000,5956708.333333,0.002295,5229585,4133596,4072636,0,15240,4
512,20,25177188.000000,23421233.333333,0.009051,21917239,16524549,16271589,0,63240,4
1024,20,98386683.000000,93654600.000000,0.036220,88137104,66082573,65052397,0,257544,4
2048,20,475499028.000000,452410400.000000,0.174440,355545799,264296422,260138950,0,1039368,4
4096,20,1921432337.000000,1832090866.666667,0.706555,1443237682,1057064666,1040361146,0,4175880,4
6144,20,4288880700.000000,4065843600.000000,1.568773,3229874400,2378368097,2340729921,0,9409544,4
8192,20,7628541119.000000,7301741200.000000,2.814866,5822821653,4228125197,4161163757,0,16740360,4
10240,20,11848592345.000000,11329079666.666666,4.364573,9016001020,6606519223,6501845911,0,26168328,4
12288,20,17305674139.000000,16568500000.000000,6.398105,13790799419,9513306944,9362533152,0,37693448,4
14336,20,24181351236.000000,23030618866.666668,9.504686,18764906631,12948318079,12743055199,0,51315720,4
