n,d,r,c,t,p,sd,pd128,pd256
32,64,112997.000000,105726.562500,0.000041,191647,205179,1887,2122,49762,4
64,64,493685.000000,464675.520833,0.000181,459778,818982,6950,8300,198858,4
128,64,1955853.000000,1836222.916667,0.000729,1796884,3272284,26296,32846,795074,4
256,64,7940784.000000,7746700.000000,0.002962,7110345,13081604,102160,131166,3179278,4
512,64,30449768.000000,28426233.333333,0.010970,27702880,52313782,401690,524362,12715842,4
1024,64,127697856.000000,121786600.000000,0.048122,120631161,209222210,1591434,2097248,50859070,4
2048,64,603481511.000000,563755400.000000,0.216206,513539906,836825904,6331624,8388680,203429230,4
4096,64,2502721458.000000,2400825266.666667,0.925993,2190639647,3347172957,25252425,33554530,813702868,4
6144,64,6382050934.000000,6109790266.666667,2.355795,5664973643,7531053235,56758195,75497532,1830824994,4
8192,64,11852026673.000000,11323628333.333334,4.369401,10574873222,13388482876,100848324,134217800,3254799738,4
10240,64,18903300325.000000,18084234133.333336,6.973131,16918975228,20919368783,157522619,209715270,5085603906,4
12288,64,27260509603.000000,26105524466.666668,10.013011,24243583649,30123872805,226779345,301989938,7323278396,4
14336,64,36851961990.000000,35393877133.333328,13.695537,33142473243,41001875244,308622792,411041858,9967792184,4
