n,d,r,c,t,p,sd,pd128,pd256
32,4,70066.000000,67408.723958,0.000026,75125,21354,21354,0,0,4
64,4,359198.000000,343789.062500,0.000132,354024,84621,84621,0,0,4
128,4,1395760.000000,1338025.000000,0.000515,1382340,337464,337464,0,0,4
256,4,5184069.000000,4862325.000000,0.001872,4865253,1346486,1346486,0,0,4
512,4,18706165.000000,18315266.666667,0.006876,17867835,5381104,5381104,0,0,4
1024,4,74235750.000000,71227866.666667,0.027389,71027153,21509557,21509557,0,0,4
2048,4,303618438.000000,292865733.333333,0.112102,289959486,86035882,86035882,0,0,4
4096,4,1242379721.000000,1188666266.666667,0.458147,1186628655,344080280,344080280,0,0,4
6144,4,2758340876.000000,2642881800.000000,1.016397,2632173989,774113836,774113836,0,0,4
8192,4,5061153369.000000,4850802666.666666,1.866343,4834372348,1376242275,1376242275,0,0,4
10240,4,7829304281.000000,7500772933.333333,2.889833,7476734271,2150163080,2150163080,0,0,4
12288,4,11155115199.000000,10675579200.000000,4.112764,10654556274,3096367430,3096367430,0,0,4
14336,4,15299737380.000000,14648039466.666666,5.637931,14605476912,4214634980,4214634980,0,0,4
